,cmte_nm,transaction_amt
14,BILL NELSON FOR US SENATE,14580.0
0,ACTBLUE,11702.0
11,ASIAN AMERICAN HOTEL OWNERS ASSOCIATION PAC (AAHOA PAC),11366.0
123,RICK SCOTT FOR FLORIDA,10600.0
33,DEBBIE FOR CONGRESS,8300.0
142,TED YOHO FOR CONGRESS,8250.0
121,REPUBLICAN NATIONAL COMMITTEE,7249.0
147,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,4951.0
47,EMILY'S LIST,4695.0
155,WINRED,3773.0
122,REPUBLICAN PARTY OF FLORIDA,3095.0
139,"TEAM GRAHAM, INC.",2900.0
83,KENDRA HORN FOR CONGRESS,2800.0
100,MICHAEL WALTZ FOR CONGRESS,2800.0
153,WICKER FOR SENATE,2700.0
6,AMERICAN PEANUT SHELLERS ASSOCIATION POLITICAL ACTION COMMITTEE,2516.0
62,FRIENDS OF RAJA FOR CONGRESS,2500.0
126,RYAN CHAMBERLIN FOR CONGRESS,2500.0
39,"DONALD J. TRUMP FOR PRESIDENT, INC.",2461.0
34,DECLARE YOUR INDEPENDENCE,2024.0
135,SUSAN WILD FOR CONGRESS,2000.0
30,DANIEL WEBSTER FOR CONGRESS,2000.0
56,FRIENDS OF LUCY MCBATH,1800.0
17,BRANDON PETERS FOR U.S. CONGRESS,1700.0
53,FRIENDS OF ANDREW YANG,1626.0
32,DCCC,1568.0
25,COMMITTEE TO ELECT LEIGH BROWN,1500.0
1,AKSM UROLOGY POLITICAL ACTION COMMITTEE 'AKSM UROLOGY PAC',1500.0
60,FRIENDS OF NEAL DUNN,1500.0
12,BERNIE 2020,1495.0
80,JUDSON SAPP FOR CONGRESS,1450.0
3,AMERICAN ACADEMY OF DERMATOLOGY ASSOCIATION POLITICAL ACTION COMMITTEE (SKINPAC),1300.0
111,NRCC,1140.0
13,BIDEN FOR PRESIDENT,1083.0
38,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,1050.0
99,MCSALLY FOR SENATE INC,1040.0
57,FRIENDS OF LUCY MCBATH INC.,1005.0
5,AMERICAN OSTEOPATHIC INFORMATION ASSOCIATION - OSTEOPATHIC POLITICAL ACTION COMMITTEE,1000.0
54,FRIENDS OF DENNIS ROSS,1000.0
44,ELAINE FOR CONGRESS,1000.0
117,POLITICAL ACTION COMMITTEE OF THE AMERICAN ASSOCIATION OF ORTHOPAEDIC SURGEONS--PAC OF AAOS,1000.0
